text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,score
"RT @DavidCornDC: According to professional factcheckers, @realDonaldTrump told far more lies during the campaign than most pols. Do Not Nor…",FALSE,0,NA,11/18/2016 1:37,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Lisamseltzer,889,TRUE,FALSE,NA,NA,-2
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:37,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",araitatsuya,14,TRUE,FALSE,NA,NA,0
RT @BretBaier: Senior Trump aide: President-elect @realDonaldTrump will meet w/ @MittRomney Saturday at Trump National Golf Club in Bedmins…,FALSE,0,NA,11/18/2016 1:37,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",armandotully,115,TRUE,FALSE,NA,NA,2
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:37,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fswallers1313,14,TRUE,FALSE,NA,NA,0
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:36,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lapzake,14,TRUE,FALSE,NA,NA,0
@Eliwarren7 @iMr_x_BeNNeTT @silentnight0615 @StopTrumpBigly @realDonaldTrump They just need a diaper change and a good burp,FALSE,1,Eliwarren7,11/18/2016 1:36,FALSE,7.99425E+17,7.99426E+17,3599059159,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MzVicious1972,0,FALSE,FALSE,NA,NA,2
"RT @politico: . @realDonaldTrump is leaving Trump Tower — for scenic Bedminster, New Jersey https://t.co/1X9RxTiB9U | Getty https://t.co/9Y…",FALSE,0,NA,11/18/2016 1:36,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HaydensMom1215,15,TRUE,FALSE,NA,NA,3
Here are @realDonaldTrump's ten top agenda items for 2017. What's on your wish list? - https://t.co/4QxOXwOZOb,FALSE,0,NA,11/18/2016 1:36,FALSE,NA,7.99426E+17,NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",club4growth,0,FALSE,FALSE,NA,NA,1
"RT @SenatorBaldwin: My letter to @realDonaldTrump: Let's close the revolving door &amp; make Washington work for Wisconsin, not Wall Street. ht…",FALSE,0,NA,11/18/2016 1:35,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tonyjanisch,61,TRUE,FALSE,NA,NA,0
"RT @NFIB: What can #smallbiz expect for #taxes from @realDonaldTrump?

https://t.co/9ibq4YnA48",FALSE,0,NA,11/18/2016 1:35,FALSE,NA,7.99426E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",dlortner,21,TRUE,FALSE,NA,NA,1
