"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Would it be too much to ask that @BarackObama pardon @Snowden before he hands over the keys to the panopticon to @realDonaldTrump?",FALSE,4,NA,2016-11-14 15:01:40,FALSE,NA,"798179095871770626",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Elijah_Meeks",2,FALSE,FALSE,NA,NA
"Praise God for @realDonaldTrump   ! https://t.co/tot7Q9PHbG",FALSE,0,NA,2016-11-14 14:57:25,FALSE,NA,"798178024432615425",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Indies4Trump",0,FALSE,FALSE,NA,NA
"@KellyannePolls @realDonaldTrump Hey, Trump, you need to listen to this.... https://t.co/Dte1MZz0o2",FALSE,0,"KellyannePolls",2016-11-14 14:49:01,FALSE,NA,"798175910780223488","471672239","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NewAmericanFlag",0,FALSE,FALSE,NA,NA
"@Evan_McMullin @ShaunKing @realDonaldTrump @washingtonpost NO BALLS! Please go to Washington and make a point!!!!",FALSE,0,"Evan_McMullin",2016-11-14 14:36:40,FALSE,"798023147718967296","798172805846208514","1051396218","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoLo4949",0,FALSE,FALSE,NA,NA
"@andyoare @KellyannePolls You need to reverse course on this, this its @realDonaldTrump fault, and your team needs to admit this.",FALSE,0,"andyoare",2016-11-14 14:18:58,FALSE,"798167978449604608","798168350941540352","170852492","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NewAmericanFlag",0,FALSE,FALSE,NA,NA
"This is great @realDonaldTrump fans https://t.co/ji7pFGKp67",FALSE,0,NA,2016-11-14 13:53:44,FALSE,NA,"798161999121125377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","janendg2016",0,FALSE,FALSE,NA,NA
"@realDonaldTrump @60Minutes
Nice! you admitted that you admitted EC made you president, contrary to popular will. Resign!
#NotMyPresident",FALSE,0,"realDonaldTrump",2016-11-14 13:30:03,FALSE,"797839801735114752","798156040218906624","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ktphilosopher",0,FALSE,FALSE,NA,NA
"RT @onlineCollabor: &gt;@asana founder Moskovitz bet $30M on @HillaryClinton. @binfire founder David Robins spent $30 on @realDonaldTrump http…",FALSE,0,NA,2016-11-14 12:34:34,FALSE,NA,"798142076885995520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jackiebrownpmp",3,TRUE,FALSE,NA,NA
".@realDonaldTrump should prioritize WH press credentials to new, digital media first. https://t.co/KBHUF2nMHx",FALSE,0,NA,2016-11-14 12:23:58,FALSE,NA,"798139409933602816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LarrySergey",0,FALSE,FALSE,NA,NA
"@twitmeagainnow @OldSalz @realDonaldTrump Why does the troll army want everyone to stop immigration??",FALSE,0,"twitmeagainnow",2016-11-14 12:13:21,FALSE,"798121934923988992","798136737566330880","344373492","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BusterSHAWzZZ",0,FALSE,FALSE,NA,NA
"@realDonaldTrump is Sick https://t.co/ITHGHAeoRw",FALSE,1,"realDonaldTrump",2016-11-14 11:42:59,FALSE,NA,"798129097301860352","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Patrick98286814",0,FALSE,FALSE,NA,NA
"@realDonaldTrump is a prick https://t.co/atVbOrecE6",FALSE,1,"realDonaldTrump",2016-11-14 11:37:13,FALSE,NA,"798127644889915392","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Patrick98286814",0,FALSE,FALSE,NA,NA
"@Cheeseday09 @Dantethecomic @realDonaldTrump her tax returns r available &amp; her income is legal. What little we've seen of his shows weasel",FALSE,0,"Cheeseday09",2016-11-14 11:10:21,FALSE,"798097606127874048","798120884791689216","462509280","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrianGoofingOff",0,FALSE,FALSE,NA,NA
"@Cheeseday09 @Dantethecomic @realDonaldTrump That's not correct. She said she would NOT raise taxes on people making less than 250000.",FALSE,0,"Cheeseday09",2016-11-14 11:05:28,FALSE,"798097419686871040","798119652345794560","462509280","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrianGoofingOff",0,FALSE,FALSE,NA,NA
"@Cheeseday09 @Dantethecomic @realDonaldTrump examples? Remember shes the 1 w/experience? Also a long list of high ranking Repubs voted 4 her",FALSE,0,"Cheeseday09",2016-11-14 11:00:48,FALSE,"798096568100462592","798118478326546433","462509280","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrianGoofingOff",0,FALSE,FALSE,NA,NA
"RT @MyVoteTodayUSA: #DonaldTrump @realDonaldTrump will take over as @POTUS in the first week of January; will he scrap #Obamacare in Jan it…",FALSE,0,NA,2016-11-14 10:23:07,FALSE,NA,"798108997584719872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","myvotetoday",39,TRUE,FALSE,NA,NA
".@realDonaldTrump please make @piersmorgan and @OMAROSA co-Press Secretaries. Would make great tv! Fantastic ratings! Very classy!",FALSE,0,NA,2016-11-14 10:09:24,FALSE,NA,"798105544535851008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EvanMilla",0,FALSE,FALSE,NA,NA
"RT @katpalio: Hi Nicolai! Our Mr.@realDonaldTrump won!  Thank you for your support!  You should give him this bust in person!  I'd love to…",FALSE,0,NA,2016-11-14 09:54:09,FALSE,NA,"798101708278665216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Maritza03239786",7,TRUE,FALSE,NA,NA
"RT @katpalio: Hi Nicolai! Our Mr.@realDonaldTrump won!  Thank you for your support!  You should give him this bust in person!  I'd love to…",FALSE,0,NA,2016-11-14 09:49:19,FALSE,NA,"798100490949103616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","orlandoandresm4",7,TRUE,FALSE,NA,NA
"@CNN Women's fear of @realDonaldTrump, a lot has to do with the unfair scum media reporting.  Pres Trump will be fine if not great for women",FALSE,4,"CNN",2016-11-14 09:20:35,FALSE,"798092231458615296","798093258073088000","759251","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ICXFX",1,FALSE,FALSE,NA,NA
"RT @nfergus: Time to see how right/wrong I was re. @realDonaldTrump. Pt. 1: https://t.co/HoBxcN2iFf Trump has the face that fits the ugly m…",FALSE,0,NA,2016-11-14 09:19:27,FALSE,NA,"798092973095448576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hbbtruth",9,TRUE,FALSE,NA,NA
"RT @CaptainSamUSA: Don't think @pepsi CEO realizes they now alienate most employees who R @realDonaldTrump supporters--unless he's going ou…",FALSE,0,NA,2016-11-14 09:18:07,FALSE,NA,"798092639836860417",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClockworkJonah",1,TRUE,FALSE,NA,NA
"Don't think @pepsi CEO realizes they now alienate most employees who R @realDonaldTrump supporters--unless he's goi… https://t.co/tyt0DuUUF2",FALSE,1,NA,2016-11-14 09:14:41,TRUE,NA,"798091772521947136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CaptainSamUSA",1,FALSE,FALSE,NA,NA
